key,english,hi,te,ta,kn,ml
common.save,Save,सहेजें,సేవ్ చేయండి,சேமிக்கவும்,ಉಳಿಸಿ,സേവ് ചെയ്യുക
common.cancel,Cancel,रद्द करें,రద్దు చేయండి,ரத்து செய்யுங்கள்,ರದ್ದುಗೊಳಿಸಿ,റദ്ദാക്കുക
common.next,Next,अगला,తదుపరి,அடுத்து,ಮುಂದೆ,അടുത്തത്
common.back,Back,वापस,వెనుకకు,பின்னோக்கி,ಹಿಂತಿರುಗಿ,പിന്നോട്ട്
common.loading,Loading...,लोड किया जा रहा है...,లోడ్ అవుతోంది...,ஏற்றுதல்...,ಲೋಡ್ ಆಗುತ್ತಿದೆ...,ലോഡ് ചെയ്യുന്നു...
common.search,Search,खोजें,వెతకండి,தேடல்,ಹುಡುಕಿ,തിരയുക
common.submit,Submit,जमा करें,సమర్పించండి,சமர்ப்பிக்கவும்,ಸಲ್ಲಿಸಿ,സമർപ്പിക്കുക
common.delete,Delete,हटाएं,తొలగించండి,நீக்கு,ಅಳಿಸಿ,ഇല്ലാതാക്കുക
common.confirm,Confirm,पुष्टि करें,ధృవీకరించండి,உறுதிப்படுத்தவும்,ದೃಢೀಕರಿಸಿ,സ്ഥിരീകരിക്കുക
common.retry,Retry,पुनः प्रयास करें,తిరిగి ప్రయత్నించండి,மீண்டும் முயற்சிக்கவும்,ಮರುಪ್ರಯತ್ನೆ ಮಾಡಿ,വീണ്ടും ശ്രമിക്കുക
common.add,Add,जोड़ें,జోడించండి,சேர்க்கவும்,ಸೇರಿಸಿ,ചേർക്കുക
common.view_all,View all,सब देखें,అన్నింటిని చూడండి,அனைத்தையும் பார்க்கவும்,ಎಲ್ಲವನ್ನೂ ವೀಕ್ಷಿಸಿ,എല്ലാം കാണുക
common.or,or,या,లేదా,அல்லது,ಅಥವಾ,അല്ലെങ്കിൽ
common.edit,Edit,संपादित करें,సవరించండి,திருத்தவும்,ಸಂಪಾದಿಸಿ,എഡിറ്റ് ചെയ്യുക
common.done,Done,किया गया,పూర్తయింది,முடிந்தது,ಮುಗಿದುಹೋಯಿತು,പൂർത്തിയായി
common.close,Close,बंद करें,మూసివేయండి,மூடு,ಮುಚ್ಚಿರಿ,അടയ്ക്കുക
common.continue,Continue,जारी रखें,కొనసాగించండి,தொடருங்கள்,ಮುಂದುವರಿಸಿ,തുടരുക
common.skip,Skip,छोड़ दें,దాటవేయండి,தவிர்க்கவும்,ಸ್ಕಿಪ್ ಮಾಡಿ,ഒഴിവാക്കുക
common.yes,Yes,हाँ,అవును,ஆம்,ಹೌದು,അതെ
common.no,No,नहीं,లేదు,இல்லை,ಇಲ್ಲ,ഇല്ല
common.remaining,remaining,शेष,మిగిలింది,மீதமிருக்கும்,ಉಳಿದ,ബാക്കിയുള്ളവർ
common.expires,Expires,समाप्त हो जाता है,గడువు ముగుస్తుంది,காலாவதியாகும்,ಅವಧಿ ಮುಗಿಯುತ್ತದೆ,കാലാവധി അവസാനിക്കുന്നു
form.required,This field is required,यह क्षेत्र आवश्यक है,ఈ ఫీల్డ్ అవసరం,இந்த புலம் தேவைப்படுகிறது,ಈ ಕ್ಷೇತ್ರವು ಅಗತ್ಯವಾಗಿದೆ,ഈ ഫീൽഡ് ആവശ്യമാണ്
form.invalid_email,Enter a valid email address,एक वैध ईमेल पता दर्ज करें,చెల్లుబాటు అయ్యే ఇమెయిల్ చిరునామాను నమోదు చేయండి,செல்லுபடியாகும் மின்னஞ்சல் முகவரியை உள்ளிடவும்,ಮಾನ್ಯವಾದ ಇಮೇಲ್ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ,സാധുവായ ഒരു ഇമെയിൽ വിലാസം നൽകുക
error.generic,Something went wrong. Please try again.,कुछ गड़बड़ हो गई। कृपया फिर से कोशिश करें।,ఏదో తప్పు జరిగింది. దయచేసి మళ్ళీ ప్రయత్నించండి.,ஏதோ தவறு நடந்துவிட்டது. தயவுசெய்து மீண்டும் முயற்சிக்கவும்.,ಏನೋ ತಪ್ಪಾಗಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,എന്തോ തെറ്റ് സംഭവിച്ചു. ദയവായി വീണ്ടും ശ്രമിക്കുക.
error.network,Network error. Check your connection.,नेटवर्क त्रुटि। अपने कनेक्शन की जाँच करें।,నెట్వర్క్ లోపం. మీ కనెక్షన్ను తనిఖీ చేయండి.,நெட்வொர்க் பிழை. உங்கள் இணைப்பைச் சரிபார்க்கவும்.,ಜಾಲದ ದೋಷ. ನಿಮ್ಮ ಸಂಪರ್ಕವನ್ನು ಪರಿಶೀಲಿಸಿ.,നെറ്റ്വർക്ക് പിശക്. നിങ്ങളുടെ കണക്ഷൻ പരിശോധിക്കുക.
notification.saved,Saved,सहेजा गया,సేవ్ చేయబడింది,சேமிக்கப்பட்டது,ಉಳಿಸಲಾಗಿದೆ,സംരക്ഷിച്ചു
notification.deleted,Deleted,हटा दिया गया,తొలగించబడింది,நீக்கப்பட்டது,ಅಳಿಸಲಾಗಿದೆ,ഇല്ലാതാക്കി
notification.sent,Sent,भेजा गया,పంపారు,அனுப்பப்பட்டது,ಕಳುಹಿಸಲಾಗಿದೆ,അയച്ചു
help.contact_support,Need help? Contact support.,मदद चाहिए? मदद के लिए संपर्क करें।,సహాయం కావాలా? మద్దతును సంప్రదించండి.,உதவி தேவையா? ஆதரவைத் தொடர்பு கொள்ளுங்கள்.,ಸಹಾಯ ಬೇಕೇ? ಬೆಂಬಲವನ್ನು ಸಂಪರ್ಕಿಸಿ.,സഹായം ആവശ്യമുണ്ടോ? പിന്തുണയുമായി ബന്ധപ്പെടുക.
app.tagline,Your Warranty Wallet,आपका वारंटी वॉलेट,మీ వారంటీ వాలెట్,உங்கள் உத்தரவாத பணப்பையை,ನಿಮ್ಮ ಖಾತರಿ ಕೈಚೀಲ,നിങ്ങളുടെ വാറന്റി വാലറ്റ്
app.add_product,Add Product,उत्पाद जोड़ें,ఉత్పత్తిని జోడించండి,தயாரிப்பைச் சேர்க்கவும்,ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ,ഉൽപ്പന്നം ചേർക്കുക
nav.home,Home,घर,హోమ్,வீடு,ಮನೆ,വീട്
nav.products,Products,उत्पाद,ఉత్పత్తులు,தயாரிப்புகள்,ಉತ್ಪನ್ನಗಳು,ഉൽപ്പന്നങ്ങൾ
nav.claim,Claim AI,एआई का दावा करें,క్లెయిమ్ AI,AI உரிமைகோரல்,ಕ್ಲೈಮ್ ಎ. ಐ.,ക്ലെയിം എ. ഐ.
nav.account,Account,खाता,ఖాతా,கணக்கு,ಖಾತೆ,അക്കൌണ്ട്
status.active,Active,सक्रिय,క్రియాశీలకం,செயலில் உள்ளது,ಸಕ್ರಿಯ,സജീവമായ
status.expired,Expired,समाप्त हो गया,గడువు ముగిసింది,காலாவதியாகிவிட்டது,ಅವಧಿ ಮುಗಿದಿದೆ,കാലഹരണപ്പെട്ടു
status.expiring_soon,Expiring soon,जल्द ही समाप्त हो रहा है,త్వరలో గడువు ముగింపు,விரைவில் காலாவதியாகும்,ಶೀಘ್ರದಲ್ಲೇ ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತಿದೆ,ഉടൻ കാലാവധി അവസാനിക്കുന്നു
product.name,Product name,उत्पाद का नाम,ఉత్పత్తి పేరు,தயாரிப்பின் பெயர்,ಉತ್ಪನ್ನದ ಹೆಸರು,ഉൽപ്പന്നത്തിന്റെ പേര്
product.brand,Brand,ब्रांड,బ్రాండ్,பிராண்ட்,ಬ್ರಾಂಡ್,ബ്രാൻഡ്
product.category,Category,श्रेणी,వర్గం,வகை,ವರ್ಗ,വർഗ്ഗം
product.model,Model,मॉडल,మోడల్,மாடல்,ಮಾದರಿ,മോഡൽ
product.purchase_date,Purchase date,खरीदारी की तारीख,కొనుగోలు తేదీ,வாங்கும் தேதி,ಖರೀದಿ ದಿನಾಂಕ,വാങ്ങുന്ന തീയതി
product.expiry_date,Warranty expiry,वारंटी की समाप्ति,వారంటీ గడువు,உத்தரவாதம் காலாவதி,ಖಾತರಿ ಅವಧಿ ಮುಕ್ತಾಯ,വാറൻറി കാലാവധി അവസാനിക്കുന്നു
product.price,Purchase price,खरीद मूल्य,కొనుగోలు ధర,வாங்கும் விலை,ಖರೀದಿ ಬೆಲೆ,വാങ്ങുന്ന വില
product.invoice,Invoice,चालान,ఇన్వాయిస్,விலைப்பட்டியல்,ಇನ್ವಾಯ್ಸ್,ഇൻവോയ്സ്
product.warranty,Warranty,वारंटी,వారంటీ,உத்தரவாதம்,ಖಾತರಿ,വാറന്റി
product.purchased_at,Purchased at,पर खरीदा गया,వద్ద కొనుగోలు చేయబడింది,இல் வாங்கப்பட்டது,ನಲ್ಲಿ ಖರೀದಿಸಲಾಗಿದೆ,ൽ വാങ്ങി
login.google_button,Sign in with Google,गूगल से साइन इन करें,Google తో సైన్ ఇన్ చేయండి,கூகுள் மூலம் உள்நுழையவும்,ಗೂಗಲ್ನೊಂದಿಗೆ ಸೈನ್ ಇನ್ ಮಾಡಿ,ഗൂഗിളിൽ സൈൻ ഇൻ ചെയ്യുക
login.google_connecting,Connecting to Google...,गूगल से कनेक्ट...,గూగుల్కు కనెక్ట్ అవుతూ...,கூகுள் உடன் இணைக்க...,ಗೂಗಲ್ ಗೆ ಕನೆಕ್ಟ್ ಆಗ್ತಿದೆ...,ഗൂഗിളിലേക്ക് കണക്റ്റുചെയ്യുന്നു...
login.phone_label,Mobile number,मोबाइल नंबर,మొబైల్ నెంబర్,மொபைல் எண்,ಮೊಬೈಲ್ ಸಂಖ್ಯೆ,മൊബൈൽ നമ്പർ
login.phone_invalid,Please enter a valid 10-digit mobile number,कृपया एक वैध 10 अंकों का मोबाइल नंबर दर्ज करें,దయచేసి చెల్లుబాటు అయ్యే 10 అంకెల మొబైల్ నంబర్ను నమోదు చేయండి,செல்லுபடியாகும் 10 இலக்க மொபைல் எண்ணை உள்ளிடவும்,ದಯವಿಟ್ಟು ಮಾನ್ಯವಾದ 10-ಅಂಕಿಯ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ,ദയവായി സാധുവായ 10 അക്ക മൊബൈൽ നമ്പർ നൽകുക
login.otp_sent,OTP Sent,ओ. टी. पी. भेजा गया,పంపిన ఓటిపి,அனுப்பிய OTP,ಒಟಿಪಿ ಕಳುಹಿಸಲಾಗಿದೆ,ഒടിപി അയച്ചു
login.otp_enter,Enter 6-digit OTP,6 अंकों का OTP डालें,6 అంకెల OTP ని ఎంటర్ చేయండి,6 இலக்க OTP ஐ உள்ளிடவும்,6 ಅಂಕಿಯ ಒಟಿಪಿ ನಮೂದಿಸಿ,6 അക്ക ഒടിപി നൽകുക
login.otp_wrong,Wrong OTP. Please try again.,गलत ओ. टी. पी.। कृपया फिर से प्रयास करें।,తప్పు ఓటిపి. దయచేసి మళ్ళీ ప్రయత్నించండి.,தவறான ஓடிபி. தயவுசெய்து மீண்டும் முயற்சிக்கவும்.,ತಪ್ಪಾದ ಒಟಿಪಿ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,തെറ്റായ ഒടിപി. ദയവായി വീണ്ടും ശ്രമിക്കുക.
login.otp_hint,We sent a 6-digit code to your phone. Check your SMS messages.,हमने आपके फोन पर 6 अंकों का कोड भेजा। अपने एसएमएस संदेशों की जांच करें।,మేము మీ ఫోన్కు 6 అంకెల కోడ్ పంపాము. మీ ఎస్ఎంఎస్ సందేశాలను తనిఖీ చేయండి.,நாங்கள் உங்கள் தொலைபேசிக்கு 6 இலக்க குறியீட்டை அனுப்பினோம். உங்கள் எஸ்எம்எஸ் செய்திகளை சரிபார்க்கவும்.,ನಾವು ನಿಮ್ಮ ಫೋನ್ಗೆ 6 ಅಂಕಿಯ ಕೋಡ್ ಅನ್ನು ಕಳುಹಿಸಿದ್ದೇವೆ. ನಿಮ್ಮ ಎಸ್ಎಂಎಸ್ ಸಂದೇಶಗಳನ್ನು ಪರಿಶೀಲಿಸಿ.,ഞങ്ങൾ നിങ്ങളുടെ ഫോണിലേക്ക് 6 അക്ക കോഡ് അയച്ചു. നിങ്ങളുടെ എസ്എംഎസ് സന്ദേശങ്ങൾ പരിശോധിക്കുക.
dashboard.hello,Hello,नमस्ते,హలో,வணக்கம்,ಹಲೋ,ഹലോ
dashboard.products_tracked,products tracked,ट्रैक किए गए उत्पाद,ట్రాక్ చేయబడిన ఉత్పత్తులు,தயாரிப்புகள் கண்காணிக்கப்படுகின்றன,ಟ್ರ್ಯಾಕ್ ಮಾಡಲಾದ ಉತ್ಪನ್ನಗಳು,ട്രാക്ക് ചെയ്ത ഉൽപ്പന്നങ്ങൾ
dashboard.all_looking_good,all looking good,सब कुछ अच्छा लग रहा है,అన్నీ బాగానే కనిపిస్తున్నాయి.,எல்லாம் நல்லா இருக்கு,ಎಲ್ಲವೂ ಚೆನ್ನಾಗಿ ಕಾಣುತ್ತಿದೆ,എല്ലാം നന്നായി കാണപ്പെടുന്നു
dashboard.expiring_soon,expiring soon,जल्द ही समाप्त हो रहा है,త్వరలో గడువు ముగుస్తుంది,விரைவில் காலாவதியாகும்,ಶೀಘ್ರದಲ್ಲೇ ಮುಕ್ತಾಯಗೊಳ್ಳಲಿದೆ,ഉടൻ കാലാവധി അവസാനിക്കുന്നു
dashboard.explore,Explore,अन्वेषण करें,అన్వేషించండి,ஆராயுங்கள்,ಅನ್ವೇಷಿಸಿ,പര്യവേക്ഷണം ചെയ്യുക
dashboard.products_heading,Products,उत्पाद,ఉత్పత్తులు,தயாரிப்புகள்,ಉತ್ಪನ್ನಗಳು,ഉൽപ്പന്നങ്ങൾ
dashboard.stats_total,Total,कुल,మొత్తం,மொத்த,ಒಟ್ಟು,ആകെ
dashboard.stats_active,Active,सक्रिय,క్రియాశీలకం,செயலில் உள்ளது,ಸಕ್ರಿಯ,സജീവമായ
dashboard.stats_expiring,Expiring,समाप्त हो रहा है,గడువు ముగింపు,காலாவதியாகும்,ಮುಕ್ತಾಯಗೊಳ್ಳುತ್ತಿದೆ,കാലാവധി അവസാനിക്കുന്നു
dashboard.wallet_empty_title,Your warranty wallet is empty,आपका वारंटी वॉलेट खाली है।,మీ వారంటీ వాలెట్ ఖాళీగా ఉంది.,உங்கள் உத்தரவாத பணப்பையை காலியாக உள்ளது.,ನಿಮ್ಮ ವಾರಂಟಿ ವ್ಯಾಲೆಟ್ ಖಾಲಿಯಾಗಿದೆ.,നിങ്ങളുടെ വാറന്റി വാലറ്റ് ശൂന്യമാണ്.
dashboard.wallet_empty_desc,Add a product to track its warranty and store the invoice. Takes under 30 seconds.,किसी उत्पाद की वारंटी को ट्रैक करने और चालान को संग्रहीत करने के लिए उसे जोड़ें। इसमें 30 सेकंड से भी कम समय लगता है।,"ఒక ఉత్పత్తిని జోడించి దాని వారంటీని ట్రాక్ చేసి, ఇన్వాయిస్ను నిల్వ చేయండి. దీనికి 30 సెకన్ల కంటే తక్కువ సమయం పడుతుంది.","ஒரு பொருளைச் சேர்த்து அதன் உத்தரவாதத்தைக் கண்காணித்து, விலைப்பட்டியலை சேமிக்கவும். 30 வினாடிகளுக்குள் எடுக்கும்.",ಒಂದು ಉತ್ಪನ್ನದ ಖಾತರಿಯನ್ನು ಪತ್ತೆಹಚ್ಚಲು ಮತ್ತು ಸರಕುಪಟ್ಟಿ ಸಂಗ್ರಹಿಸಲು ಅದನ್ನು ಸೇರಿಸಿ. ಇದು 30 ಸೆಕೆಂಡುಗಳಿಗಿಂತ ಕಡಿಮೆ ಸಮಯ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ.,വാറന്റി ട്രാക്ക് ചെയ്യാനും ഇൻവോയ്സ് സംഭരിക്കാനും ഒരു ഉൽപ്പന്നം ചേർക്കുക. 30 സെക്കൻഡിൽ താഴെ സമയമെടുക്കും.
dashboard.add_first_product,Add your first product,अपना पहला उत्पाद जोड़ें,మీ మొదటి ఉత్పత్తిని జోడించండి,உங்கள் முதல் தயாரிப்பைச் சேர்க்கவும்,ನಿಮ್ಮ ಮೊದಲ ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ,നിങ്ങളുടെ ആദ്യ ഉൽപ്പന്നം ചേർക്കുക
dashboard.claim_cta_title,Something broke? Try AI Claim Assistant,कुछ टूटा है? AI क्लेम असिस्टेंट आज़माएँ,ఏదో తెగిపోయిందా? AI క్లెయిమ్ అసిస్టెంట్ను ప్రయత్నించండి,ஏதோ பழுதடைந்ததா? AI Claim Assistant முயற்சிக்கவும்,ಏನೋ ಹಾಳಾಗಿದೆ? AI ಕ್ಲೈಮ್ ಅಸಿಸ್ಟೆಂಟ್ ಅನ್ನು ಪ್ರಯತ್ನಿಸಿ,എന്തോ തകരാറുണ്ടോ? AI ക്ലെയിം അസിസ്റ്റന്റ് പരീക്ഷിക്കുക
dashboard.claim_cta_sub,Step-by-step warranty claim guidance,चरण-दर-चरण वारंटी दावा मार्गदर्शन,దశల వారీ వారంటీ క్లెయిమ్ మార్గదర్శకత్వం,படிப்படியான உத்தரவாத உரிமைகோரல் வழிகாட்டுதல்,ಹಂತ ಹಂತದ ಖಾತರಿ ಹಕ್ಕು ಮಾರ್ಗದರ್ಶನ,ഘട്ടം ഘട്ടമായുള്ള വാറന്റി ക്ലെയിം മാർഗ്ഗനിർദ്ദേശം
dashboard.demo_title,These are sample products,ये नमूने के उत्पाद हैं।,ఇవి నమూనా ఉత్పత్తులు,இவை மாதிரி தயாரிப்புகள்,ಇವು ಮಾದರಿ ಉತ್ಪನ್ನಗಳಾಗಿವೆ.,ഇവ സാമ്പിൾ ഉൽപ്പന്നങ്ങളാണ്
dashboard.demo_desc,The stats above show demo data so you can explore the app. Add your first real product to start tracking your actual warranties.,ऊपर दिए गए आंकड़े डेमो डेटा दिखाते हैं ताकि आप ऐप का पता लगा सकें। अपनी वास्तविक वारंटी पर नज़र रखने के लिए अपना पहला वास्तविक उत्पाद जोड़ें।,"పై గణాంకాలు డెమో డేటాను చూపుతాయి, తద్వారా మీరు అనువర్తనాన్ని అన్వేషించవచ్చు. మీ వాస్తవ వారంటీలను ట్రాక్ చేయడం ప్రారంభించడానికి మీ మొదటి నిజమైన ఉత్పత్తిని జోడించండి.","மேலே உள்ள புள்ளிவிவரங்கள் டெமோ தரவைக் காட்டுகின்றன, இதனால் நீங்கள் பயன்பாட்டை ஆராயலாம். உங்கள் உண்மையான உத்தரவாதங்களை கண்காணிக்க உங்கள் முதல் உண்மையான தயாரிப்பைச் சேர்க்கவும்.","ಮೇಲಿನ ಅಂಕಿಅಂಶಗಳು ಡೆಮೊ ದತ್ತಾಂಶವನ್ನು ತೋರಿಸುತ್ತವೆ, ಆದ್ದರಿಂದ ನೀವು ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಅನ್ವೇಷಿಸಬಹುದು. ನಿಮ್ಮ ನಿಜವಾದ ಖಾತರಿ ಕರಾರುಗಳನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಲು ಪ್ರಾರಂಭಿಸಲು ನಿಮ್ಮ ಮೊದಲ ನಿಜವಾದ ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ.","മുകളിലുള്ള സ്ഥിതിവിവരക്കണക്കുകൾ ഡെമോ ഡാറ്റ കാണിക്കുന്നു, അതിനാൽ നിങ്ങൾക്ക് ആപ്പ് പര്യവേക്ഷണം ചെയ്യാൻ കഴിയും. നിങ്ങളുടെ യഥാർത്ഥ വാറണ്ടികൾ ട്രാക്കുചെയ്യാൻ ആരംഭിക്കുന്നതിന് നിങ്ങളുടെ ആദ്യത്തെ യഥാർത്ഥ ഉൽപ്പന്നം ചേർക്കുക."
dashboard.demo_cta,Add my first product,मेरा पहला उत्पाद जोड़ें,నా మొదటి ఉత్పత్తిని జోడించండి,எனது முதல் தயாரிப்பைச் சேர்க்கவும்,ನನ್ನ ಮೊದಲ ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ,എൻറെ ആദ്യ ഉൽപ്പന്നം ചേർക്കുക
dashboard.near_limit_title,You're nearing the free limit,आप मुफ्त सीमा के करीब हैं।,మీరు ఉచిత పరిమితికి దగ్గరవుతున్నారు.,நீங்கள் இலவச வரம்பை நெருங்குகிறீர்கள்,ನೀವು ಉಚಿತ ಮಿತಿಯನ್ನು ಸಮೀಪಿಸುತ್ತಿದ್ದೀರಿ.,നിങ്ങൾ സൌജന്യ പരിധിയോട് അടുക്കുകയാണ്.
dashboard.near_limit_sub,Upgrade to Pro for unlimited products,असीमित उत्पादों के लिए प्रो में अपग्रेड करें,అపరిమిత ఉత్పత్తుల కోసం ప్రో కు అప్గ్రేడ్ చేయండి,வரம்பற்ற தயாரிப்புகளுக்கான புரோவுக்கு மேம்படுத்தல்,ಅನಿಯಮಿತ ಉತ್ಪನ್ನಗಳಿಗಾಗಿ ಪ್ರೊಗೆ ಅಪ್ಗ್ರೇಡ್ ಮಾಡಿ,പരിധിയില്ലാത്ത ഉൽപ്പന്നങ്ങൾക്കായി പ്രോയിലേക്ക് അപ്ഗ്രേഡ് ചെയ്യുക
dashboard.weekly_checkin,Weekly check-in,साप्ताहिक चेक-इन,వారానికి ఒకసారి చెక్-ఇన్,வாராந்திர செக்-இன்,ವಾರಕ್ಕೊಮ್ಮೆ ಚೆಕ್-ಇನ್,പ്രതിവാര ചെക്ക്-ഇൻ
tile.lifecycle,Lifecycle,जीवन चक्र,జీవిత చక్రం,வாழ்க்கைச் சுழற்சி,ಜೀವನ ಚಕ್ರ,ജീവിതചക്രം
tile.lifecycle_sub,Cost & lifespan,लागत और जीवनकाल,ఖర్చు & జీవితకాలం,செலவு & ஆயுட்காலம்,ವೆಚ್ಚ & ಜೀವಿತಾವಧಿ,ചെലവ് & ആയുസ്സ്
tile.compare,Compare,तुलना करें,పోల్చుకోండి,ஒப்பிடுக,ಹೋಲಿಕೆ ಮಾಡಿ,താരതമ്യം ചെയ്യുക
tile.compare_sub,Side-by-side products,साइड-बाय-साइड उत्पाद,సైడ్-బై-సైడ్ ఉత్పత్తులు,பக்கவாட்டு தயாரிப்புகள்,ಅಕ್ಕಪಕ್ಕದ ಉತ್ಪನ್ನಗಳು,സൈഡ്-ബൈ-സൈഡ് ഉൽപ്പന്നങ്ങൾ
tile.buying_assistant,Buying Assistant,सहायक खरीदना,కొనుగోలు సహాయకుడు,உதவியாளரை வாங்குதல்,ಖರೀದಿ ಸಹಾಯಕ,അസിസ്റ്റന്റ് വാങ്ങൽ
tile.buying_assistant_sub,Budget recommendations,बजट की सिफारिशें,బడ్జెట్ సిఫార్సులు,பட்ஜெட் பரிந்துரைகள்,ಬಜೆಟ್ ಶಿಫಾರಸುಗಳು,ബജറ്റ് ശുപാർശകൾ
tile.smart_devices,Smart Devices,स्मार्ट उपकरण,స్మార్ట్ పరికరాలు,ஸ்மார்ட் சாதனங்கள்,ಸ್ಮಾರ್ಟ್ ಸಾಧನಗಳು,സ്മാർട്ട് ഉപകരണങ്ങൾ
tile.smart_devices_sub,IoT service alerts,आई. ओ. टी. सेवा अलर्ट,ఐఓటీ సర్వీస్ హెచ్చరికలు,ஐஓடி சேவை எச்சரிக்கைகள்,ಐಒಟಿ ಸೇವಾ ಎಚ್ಚರಿಕೆಗಳು,ഐഒടി സേവന അലേർട്ടുകൾ
tile.energy,Energy Monitor,ऊर्जा मॉनिटर,ఎనర్జీ మానిటర్,ஆற்றல் கண்காணிப்பு,ಎನರ್ಜಿ ಮಾನಿಟರ್,എനർജി മോണിറ്റർ
tile.energy_sub,Power & cost,बिजली और लागत,పవర్ & ఖర్చు,மின்சாரம் & செலவு,ವಿದ್ಯುತ್ & ವೆಚ್ಚ,വൈദ്യുതി & ചെലവ്
tile.family,Family Vault,पारिवारिक वॉल्ट,ఫ్యామిలీ వాల్ట్,குடும்ப வால்ட்,ಫ್ಯಾಮಿಲಿ ವಾಲ್ಟ್,ഫാമിലി വോൾട്ട്
tile.family_sub,Share with family,परिवार के साथ साझा करें,కుటుంబ సభ్యులతో పంచుకోండి,குடும்பத்துடன் பகிர்ந்து கொள்ளுங்கள்,ಕುಟುಂಬದೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳಿ,കുടുംബവുമായി പങ്കുവയ്ക്കുക
tile.upgrade,Upgrade to Pro,प्रो में अपग्रेड करें,ప్రో కు అప్గ్రేడ్ చేయండి,புரோவுக்கு மேம்படுத்தவும்,ಪ್ರೊಗೆ ಅಪ್ಗ್ರೇಡ್ ಮಾಡಿ,പ്രോയിലേക്ക് അപ്ഗ്രേഡ് ചെയ്യുക
tile.upgrade_sub,Unlimited products,असीमित उत्पाद,అపరిమిత ఉత్పత్తులు,வரம்பற்ற தயாரிப்புகள்,ಅನಿಯಮಿತ ಉತ್ಪನ್ನಗಳು,പരിധിയില്ലാത്ത ഉൽപ്പന്നങ്ങൾ
tile.add_product,Add Product,उत्पाद जोड़ें,ఉత్పత్తిని జోడించండి,தயாரிப்பைச் சேர்க்கவும்,ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ,ഉൽപ്പന്നം ചേർക്കുക
tile.add_product_sub,30 seconds,30 सेकंड,30 సెకన్లు,30 வினாடிகள்,30 ಸೆಕೆಂಡುಗಳು,30 സെക്കൻഡ്
login.otp_sent_to,We sent a 6-digit code to,हमने 6 अंकों का कोड भेजा,మేము 6 అంకెల కోడ్ను పంపాము,நாம் ஒரு 6 இலக்க குறியீட்டை அனுப்பினோம்,ನಾವು 6-ಅಂಕಿಯ ಕೋಡ್ ಅನ್ನು ಕಳುಹಿಸಿದ್ದೇವೆ,ഞങ്ങൾ ഒരു 6 അക്ക കോഡ് അയച്ചു
login.otp_check_sms,Check your SMS messages.,अपने एसएमएस संदेशों की जांच करें।,మీ ఎస్ఎంఎస్ సందేశాలను తనిఖీ చేయండి.,உங்கள் எஸ்எம்எஸ் செய்திகளை சரிபார்க்கவும்.,ನಿಮ್ಮ ಎಸ್ಎಂಎಸ್ ಸಂದೇಶಗಳನ್ನು ಪರಿಶೀಲಿಸಿ.,നിങ്ങളുടെ എസ്എംഎസ് സന്ദേശങ്ങൾ പരിശോധിക്കുക.
login.otp_verifying,Verifying...,सत्यापन...,ధృవీకరించడం...,சரிபார்த்தல்...,ಪರಿಶೀಲನೆ...,പരിശോധിക്കുന്നു...
