key,english,hi,te,ta,kn,ml
product.added_success_toast,Added to your Warranty Wallet!,आपके वारंटी वॉलेट में जोड़ा गया!,మీ వారంటీ వాలెట్కు జోడించబడింది!,உங்கள் உத்தரவாத பணப்பையில் சேர்க்கப்பட்டது!,ನಿಮ್ಮ ಖಾತರಿ ವ್ಯಾಲೆಟ್ಗೆ ಸೇರಿಸಲಾಗಿದೆ!,നിങ്ങളുടെ വാറന്റി വാലറ്റിലേക്ക് ചേർത്തു!
product.add_failed_toast,Failed to add product,उत्पाद जोड़ने में विफल,ఉత్పత్తిని జోడించడంలో విఫలమైంది,தயாரிப்பைச் சேர்க்க முடியவில்லை,ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಲು ವಿಫಲವಾಗಿದೆ,ഉൽപ്പന്നം ചേർക്കുന്നതിൽ പരാജയപ്പെട്ടു
product.scan_cta_title,Scan Box / Bill,स्कैन बॉक्स/बिल,స్కాన్ బాక్స్/బిల్లు,ஸ்கேன் பெட்டி/பில்,ಸ್ಕ್ಯಾನ್ ಬಾಕ್ಸ್/ಬಿಲ್,സ്കാൻ ബോക്സ്/ബിൽ
product.scan_cta_desc,Auto-fills all details,सभी विवरण स्वतः भरें,అన్ని వివరాలను స్వయంచాలకంగా నింపండి,அனைத்து விவரங்களையும் தானாக நிரப்பவும்,ಎಲ್ಲಾ ವಿವರಗಳನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಭರ್ತಿ ಮಾಡಿ,എല്ലാ വിശദാംശങ്ങളും സ്വയം പൂരിപ്പിക്കുക
product.fill_manually,or fill manually,या मैन्युअल रूप से भरें,లేదా చేతితో నింపండి,அல்லது கைமுறையாக நிரப்பவும்,ಕೈಯಿಂದ ತುಂಬಿಸಿ ಅಥವಾ ತುಂಬಿಸಿ,അല്ലെങ്കിൽ കൈകൊണ്ട് പൂരിപ്പിക്കുക
product.find_product,Find Product,उत्पाद खोजें,ఉత్పత్తిని కనుగొనండి,தயாரிப்பைக் கண்டறியவும்,ಉತ್ಪನ್ನವನ್ನು ಹುಡುಕಿ,ഉൽപ്പന്നം കണ്ടെത്തുക
product.find_product_hint,"Search to auto-fill, or enter manually below","स्वतः भरने के लिए खोजें, या नीचे मैन्युअल रूप से दर्ज करें",స్వయంచాలకంగా నింపడానికి వెతకండి లేదా క్రింద మానవీయంగా నమోదు చేయండి,"தானாக நிரப்புவதற்குத் தேடுங்கள், அல்லது கீழே கைமுறையாக உள்ளிடவும்","ಸ್ವಯಂಚಾಲಿತವಾಗಿ ತುಂಬಲು ಹುಡುಕಿ, ಅಥವಾ ಕೆಳಗೆ ಹಸ್ತಚಾಲಿತವಾಗಿ ನಮೂದಿಸಿ","ഓട്ടോ-ഫിൽ ചെയ്യാൻ തിരയുക, അല്ലെങ്കിൽ താഴെ സ്വമേധയാ നൽകുക"
product.details_header,Product Details,उत्पाद विवरण,ఉత్పత్తి వివరాలు,தயாரிப்பு விவரங்கள்,ಉತ್ಪನ್ನದ ವಿವರಗಳು,ഉൽപ്പന്ന വിശദാംശങ്ങൾ
product.name_label,Product Name,उत्पाद का नाम,ఉత్పత్తి పేరు,பொருளின் பெயர்,ಉತ್ಪನ್ನದ ಹೆಸರು,ഉൽപ്പന്നത്തിൻ്റെ പേര്
product.brand_label,Brand,ब्रांड,బ్రాండ్,பிராண்ட்,ಬ್ರಾಂಡ್,ബ്രാൻഡ്
product.model_label,Model Number,मॉडल संख्या,మోడల్ నంబర్,மாதிரி எண்,ಮಾದರಿ ಸಂಖ್ಯೆ,മോഡൽ നമ്പർ
product.serial_placeholder,Optional or scan,वैकल्पिक या स्कैन,ఐచ్ఛిక లేదా స్కాన్,விருப்பமான அல்லது ஸ்கேன்,ಐಚ್ಛಿಕ ಅಥವಾ ಸ್ಕ್ಯಾನ್,ഓപ്ഷണൽ അല്ലെങ്കിൽ സ്കാൻ
product.scan_barcode_aria,Scan barcode,स्कैन बारकोड,స్కాన్ బార్కోడ్,ஸ்கேன் பார்கோடு,ಸ್ಕ್ಯಾನ್ ಬಾರ್ಕೋಡ್,സ്കാൻ ബാർകോഡ്
product.purchase_date_label,When did you buy it?,आपने इसे कब खरीदा?,దాన్ని ఎప్పుడు కొన్నారు?,அதை எப்போது வாங்கினீர்கள்?,ನೀವು ಅದನ್ನು ಯಾವಾಗ ಖರೀದಿಸಿದ್ದೀರಿ?,എപ്പോഴാണ് നിങ്ങൾ അത് വാങ്ങിയത്?
product.date_preset_this_week,This week,इस सप्ताह,ఈ వారం,இந்த வாரம்,ಈ ವಾರ.............................................................................................................................................................................................................................................................,ഈ ആഴ്ച
product.date_preset_last_month,Last month,पिछले महीने,గత నెల,கடந்த மாதம்,ಕಳೆದ ತಿಂಗಳು,കഴിഞ്ഞ മാസം
product.date_preset_diwali,Last Diwali,पिछली दिवाली,గత దీపావళి,கடந்த தீபாவளி,ಕಳೆದ ದೀಪಾವಳಿ,കഴിഞ്ഞ ദീപാവലി
product.date_preset_year_1,~1 year ago,~ 1 year ago,~ 1 year ago,~ 1 year ago,~ 1 year ago,~ 1 year ago
product.date_preset_year_2,~2 years ago,~ 2 years ago,~ 2 years ago,~ 2 ஆண்டுகளுக்கு முன்பு,~ 2 years ago,~ 2 years ago
product.store_label,Store / Platform,स्टोर/प्लेटफ़ॉर्म,స్టోర్/ప్లాట్ఫాం,கடை/தளம்,ಸ್ಟೋರ್/ಪ್ಲಾಟ್ಫಾರ್ಮ್,സ്റ്റോർ/പ്ലാറ്റ്ഫോം
product.price_paid_label,Price Paid,भुगतान की गई कीमत,చెల్లించిన ధర,செலுத்திய விலை,ಪಾವತಿಸಿದ ಬೆಲೆ,നൽകിയ വില
product.warranty_duration,Warranty Duration,वारंटी अवधि,వారంటీ వ్యవధి,உத்தரவாத காலம்,ಖಾತರಿ ಅವಧಿ,വാറന്റി ദൈർഘ്യം
product.warranty_preset_6mo,6 Mo,6 मो,6 మో,6 மோ,6 ಮೊ,6 മോ
product.warranty_preset_1yr,1 Yr,1 वर्ष,1 Yr,1 Yr,1 ವರ್ಷ,1 Yr
product.warranty_preset_2yr,2 Yr,2 वर्ष,2 Yr,2 Yr,2 ವರ್ಷ,2 Yr
product.warranty_preset_3yr,3 Yr,3 वर्ष,3 Yr,3 Yr,3 ವರ್ಷ,3 Yr
product.warranty_preset_5yr,5 Yr,5 वर्ष,5 Yr,5 ஆண்டு,5 ವರ್ಷ,5 വർഷം
product.warranty_preset_custom,Custom,कस्टम,అనుకూలం,தனிப்பயன்,ಕಸ್ಟಮ್,ഇഷ്ടാനുസൃതമാക്കുക
product.months,months,महीने,నెలలు.............................................................................................................................................................................................................................................................,மாதங்கள்,ತಿಂಗಳುಗಳು,മാസങ്ങൾ
product.warranty_expires_on,Warranty expires,वारंटी समाप्त हो जाती है,వారంటీ గడువు ముగుస్తుంది,உத்தரவாதம் காலாவதியாகும்,ಖಾತರಿ ಅವಧಿ ಮುಗಿಯುತ್ತದೆ,വാറന്റി കാലാവധി അവസാനിക്കുന്നു
product.warranty_already_expired,already expired,पहले से ही समाप्त हो चुका है,ఇప్పటికే గడువు ముగిసింది,ஏற்கனவே காலாவதியாகிவிட்டது,ಈಗಾಗಲೇ ಅವಧಿ ಮುಗಿದಿದೆ,ഇതിനകം കാലഹരണപ്പെട്ടു
product.invoice_receipt_header,Invoice / Receipt,चालान/रसीद,ఇన్వాయిస్/రసీదు,விலைப்பட்டியல்/ரசீது,ಇನ್ವಾಯ್ಸ್/ರಸೀದಿ,ഇൻവോയ്സ്/രസീത്
product.invoice_upload_cta,Upload invoice or receipt,चालान या रसीद अपलोड करें,ఇన్వాయిస్ లేదా రసీదును అప్లోడ్ చేయండి,விலைப்பட்டியல் அல்லது ரசீதை பதிவேற்றவும்,ಸರಕುಪಟ್ಟಿ ಅಥವಾ ರಸೀದಿಯನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಿ,ഇൻവോയ്സ് അല്ലെങ്കിൽ രസീത് അപ്ലോഡ് ചെയ്യുക
product.invoice_drop_cta,Drop it here,इसे यहाँ गिरा दें।,దాన్ని ఇక్కడ పడేయండి,அதை இங்கே இறக்கிவிடுங்கள்,ಅದನ್ನು ಇಲ್ಲಿ ಬಿಡಿ.,ഇത് ഇവിടെ ഇടുക
product.invoice_upload_specs,"JPG, PNG, PDF · Max 10MB","जेपीजी, पीएनजी, पीडीएफ · मैक्स 10एमबी","JPG, PNG, PDF · మాక్స్ 10MB","JPG, PNG, PDF · அதிகபட்சம் 10MB","JPG, PNG, PDF · ಗರಿಷ್ಠ 10MB","JPG, PNG, PDF · മാക്സ് 10MB"
product.notes_label,Notes (optional),नोट्स (वैकल्पिक),గమనికలు (ఐచ్ఛికం),குறிப்புகள் (விருப்பமானது),ಟಿಪ್ಪಣಿಗಳು (ಐಚ್ಛಿಕ),കുറിപ്പുകൾ (ഓപ്ഷണൽ)
product.notes_placeholder,Any notes about this product...,इस उत्पाद के बारे में कोई भी नोट...,ఈ ఉత్పత్తి గురించి ఏవైనా గమనికలు...,இந்த தயாரிப்பு பற்றி ஏதேனும் குறிப்புகள்...,ಈ ಉತ್ಪನ್ನದ ಬಗ್ಗೆ ಯಾವುದೇ ಟಿಪ್ಪಣಿಗಳು...,ഈ ഉൽപ്പന്നത്തെക്കുറിച്ചുള്ള ഏതെങ്കിലും കുറിപ്പുകൾ...
product.saving,Saving...,बचत...,పొదుపు చేయడం...,சேமிப்பு...,ಉಳಿತಾಯ...,സേവിങ്...
product.add_submit_btn,Add to Warranty Wallet,वारंटी वॉलेट में जोड़ें,వారంటీ వాలెట్కు జోడించండి,உத்தரவாத பணப்பையில் சேர்க்கவும்,ಖಾತರಿ ಕೈಚೀಲಕ್ಕೆ ಸೇರಿಸಿ,വാറന്റി വാലറ്റിലേക്ക് ചേർക്കുക
product.scanned_toast,Scanned,स्कैन किया गया,స్కాన్ చేయబడింది,ஸ்கேன் செய்யப்பட்டது,ಸ್ಕ್ಯಾನ್ ಮಾಡಲಾಗಿದೆ,സ്കാൻ ചെയ്തു
product.ocr_autofill_toast,Auto-filled {count} fields from your bill!,अपने बिल से स्वतः भरे {गणना} फ़ील्ड!,మీ బిల్లు నుండి స్వయంచాలకంగా నింపబడిన {కౌంట్} ఖాళీలను!,உங்கள் பில் இருந்து தானாக நிரப்பப்பட்ட {எண்ணுதல்} புலங்கள்!,ನಿಮ್ಮ ಬಿಲ್ನಿಂದ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ತುಂಬಿದ {ಎಣಿಕೆ} ಕ್ಷೇತ್ರಗಳು!,നിങ്ങളുടെ ബില്ലിൽ നിന്ന് ഓട്ടോ നിറച്ച {എണ്ണുക} ഫീൽഡുകൾ!
product.ocr_scanned_toast,Bill scanned — please review the details.,बिल स्कैन किया-कृपया विवरण की समीक्षा करें।,బిల్ స్కాన్ చేయబడింది-దయచేసి వివరాలను సమీక్షించండి.,பில் ஸ்கேன் செய்யப்பட்டது-தயவுசெய்து விவரங்களை மறுபரிசீலனை செய்யுங்கள்.,ಬಿಲ್ ಸ್ಕ್ಯಾನ್-ದಯವಿಟ್ಟು ವಿವರಗಳನ್ನು ಪರಿಶೀಲಿಸಿ.,ബിൽ സ്കാൻ ചെയ്തു-ദയവായി വിശദാംശങ്ങൾ അവലോകനം ചെയ്യുക.
claim.add_first_title,Add a product first,पहले एक उत्पाद जोड़ें,మొదట ఒక ఉత్పత్తిని జోడించండి,முதலில் ஒரு பொருளைச் சேர்க்கவும்,ಮೊದಲು ಒಂದು ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ,ആദ്യം ഒരു ഉൽപ്പന്നം ചേർക്കുക
claim.add_first_desc,Claim AI guides you through warranty claims for your products. Add your first real product to get started.,दावा एआई आपके उत्पादों के लिए वारंटी दावों के माध्यम से आपका मार्गदर्शन करता है। शुरुआत करने के लिए अपना पहला वास्तविक उत्पाद जोड़ें।,క్లెయిమ్ AI మీ ఉత్పత్తులకు వారంటీ క్లెయిమ్ల ద్వారా మీకు మార్గనిర్దేశం చేస్తుంది. ప్రారంభించడానికి మీ మొదటి నిజమైన ఉత్పత్తిని జోడించండి.,உரிமைகோரல் AI உங்கள் தயாரிப்புகளுக்கான உத்தரவாத உரிமைகோரல்களின் மூலம் உங்களை வழிநடத்துகிறது. தொடங்குவதற்கு உங்கள் முதல் உண்மையான தயாரிப்பைச் சேர்க்கவும்.,ಕ್ಲೈಮ್ AI ನಿಮ್ಮ ಉತ್ಪನ್ನಗಳಿಗೆ ಖಾತರಿ ಹಕ್ಕುಗಳ ಮೂಲಕ ನಿಮಗೆ ಮಾರ್ಗದರ್ಶನ ನೀಡುತ್ತದೆ. ಪ್ರಾರಂಭಿಸಲು ನಿಮ್ಮ ಮೊದಲ ನಿಜವಾದ ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ.,ക്ലെയിം AI നിങ്ങളുടെ ഉൽപ്പന്നങ്ങളുടെ വാറന്റി ക്ലെയിമുകൾ വഴി നിങ്ങളെ നയിക്കുന്നു. ആരംഭിക്കാൻ നിങ്ങളുടെ ആദ്യത്തെ യഥാർത്ഥ ഉൽപ്പന്നം ചേർക്കുക.
claim.demo_excluded_hint,Demo products are excluded — Claim AI only works with products you own.,डेमो उत्पादों को बाहर रखा गया है-दावा एआई केवल आपके स्वामित्व वाले उत्पादों के साथ काम करता है।,డెమో ఉత్పత్తులు మినహాయించబడ్డాయి-క్లెయిమ్ AI మీ స్వంత ఉత్పత్తులతో మాత్రమే పనిచేస్తుంది.,டெமோ தயாரிப்புகள் விலக்கப்பட்டுள்ளன-உரிமைகோரல் AI உங்களுக்குச் சொந்தமான தயாரிப்புகளுடன் மட்டுமே செயல்படுகிறது.,ಡೆಮೊ ಉತ್ಪನ್ನಗಳನ್ನು ಹೊರಗಿಡಲಾಗಿದೆ-ಕ್ಲೈಮ್ AI ನೀವು ಹೊಂದಿರುವ ಉತ್ಪನ್ನಗಳೊಂದಿಗೆ ಮಾತ್ರ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ.,ഡെമോ ഉൽപ്പന്നങ്ങൾ ഒഴിവാക്കിയിരിക്കുന്നു-ക്ലെയിം AI നിങ്ങളുടെ ഉടമസ്ഥതയിലുള്ള ഉൽപ്പന്നങ്ങളുമായി മാത്രമേ പ്രവർത്തിക്കൂ.
claim.page_subtitle,"Get guided through your warranty claim, step by step.",अपनी वारंटी दावे के माध्यम से चरण-दर-चरण मार्गदर्शन प्राप्त करें।,మీ వారంటీ క్లెయిమ్ ద్వారా దశలవారీగా మార్గనిర్దేశం పొందండి.,படிப்படியாக உங்கள் உத்தரவாத உரிமைகோரலின் மூலம் வழிநடத்தப்படவும்.,ಹಂತ ಹಂತವಾಗಿ ನಿಮ್ಮ ಖಾತರಿ ಹಕ್ಕಿನ ಮೂಲಕ ಮಾರ್ಗದರ್ಶನ ಪಡೆಯಿರಿ.,നിങ്ങളുടെ വാറന്റി ക്ലെയിമിലൂടെ ഘട്ടം ഘട്ടമായി മാർഗ്ഗനിർദ്ദേശം നേടുക.
product.warranty_until,Warranty until,वारंटी जब तक,వరకు వారంటీ,வரை உத்தரவாதம்,ವರೆಗೆ ಖಾತರಿ,വരെ വാറന്റി
claim.disclaimer,AI guidance is informational only. Actual warranty coverage depends on your specific terms.,ए. आई. मार्गदर्शन केवल सूचनात्मक है। वास्तविक वारंटी कवरेज आपकी विशिष्ट शर्तों पर निर्भर करता है।,AI మార్గదర్శకత్వం సమాచారపరంగా మాత్రమే ఉంటుంది. వాస్తవ వారంటీ కవరేజ్ మీ నిర్దిష్ట నిబంధనలపై ఆధారపడి ఉంటుంది.,AI வழிகாட்டுதல் தகவல் மட்டுமே. உண்மையான உத்தரவாத கவரேஜ் உங்கள் குறிப்பிட்ட விதிமுறைகளைப் பொறுத்தது.,AI ಮಾರ್ಗದರ್ಶನವು ಕೇವಲ ಮಾಹಿತಿಯುಕ್ತವಾಗಿದೆ. ನಿಜವಾದ ಖಾತರಿ ವ್ಯಾಪ್ತಿಯು ನಿಮ್ಮ ನಿರ್ದಿಷ್ಟ ನಿಯಮಗಳ ಮೇಲೆ ಅವಲಂಬಿತವಾಗಿರುತ್ತದೆ.,AI മാർഗ്ഗനിർദ്ദേശം വിവരദായകം മാത്രമാണ്. യഥാർത്ഥ വാറന്റി കവറേജ് നിങ്ങളുടെ നിർദ്ദിഷ്ട നിബന്ധനകളെ ആശ്രയിച്ചിരിക്കുന്നു.
claim.issue_stopped_working,Product stopped working,उत्पाद ने काम करना बंद कर दिया,ఉత్పత్తి పనిచేయడం ఆగిపోయింది,தயாரிப்பு வேலை செய்வதை நிறுத்தியது,ಉತ್ಪನ್ನವು ಕೆಲಸ ಮಾಡುವುದನ್ನು ನಿಲ್ಲಿಸಿತು,ഉൽപ്പന്നം പ്രവർത്തനം നിർത്തി
claim.issue_display,Screen / display problem,स्क्रीन/प्रदर्शन समस्या,స్క్రీన్/ప్రదర్శన సమస్య,திரை/காட்சி சிக்கல்,ಸ್ಕ್ರೀನ್/ಪ್ರದರ್ಶನ ಸಮಸ್ಯೆ,സ്ക്രീൻ/ഡിസ്പ്ലേ പ്രശ്നം
claim.issue_battery,Battery drains too fast,बैटरी बहुत तेजी से खत्म हो जाती है,బ్యాటరీ చాలా వేగంగా ఆరిపోతుంది,பேட்டரி மிக வேகமாக வடிகட்டுகிறது,ಬ್ಯಾಟರಿ ತುಂಬಾ ವೇಗವಾಗಿ ಖಾಲಿಯಾಗುತ್ತದೆ,ബാറ്ററി വളരെ വേഗത്തിൽ കളയുന്നു
claim.issue_damage,Physical damage,शारीरिक क्षति,శారీరక నష్టం,உடல் ரீதியான சேதம்,ದೈಹಿಕ ಹಾನಿ,ശാരീരിക നാശനഷ്ടങ്ങൾ
claim.issue_cooling,Not cooling / heating,शीतलन/हीटिंग नहीं,చల్లబరచడం/వేడి చేయడం లేదు,குளிர்ச்சியடையவில்லை/சூடாக்கவில்லை,ತಂಪಾಗಿಸುವುದಿಲ್ಲ/ಬಿಸಿ ಮಾಡುತ್ತಿಲ್ಲ,തണുപ്പിക്കൽ/ചൂടാക്കൽ ഇല്ല
claim.issue_noise,Noise or vibration,शोर या कंपन,శబ్దం లేదా కంపనం,சத்தம் அல்லது அதிர்வு,ಶಬ್ದ ಅಥವಾ ಕಂಪನ,ശബ്ദം അല്ലെങ്കിൽ വൈബ്രേഷൻ
claim.issue_software,Software / connectivity issue,सॉफ्टवेयर/कनेक्टिविटी समस्या,సాఫ్ట్వేర్/కనెక్టివిటీ సమస్య,மென்பொருள்/இணைப்பு சிக்கல்,ಸಾಫ್ಟ್ವೇರ್/ಸಂಪರ್ಕ ಸಮಸ್ಯೆ,സോഫ്റ്റ്വെയർ/കണക്റ്റിവിറ്റി പ്രശ്നം
claim.issue_parts,Parts missing or broken,भाग गायब या टूटे हुए,భాగాలు తప్పిపోయాయి లేదా విరిగిపోయాయి,பாகங்கள் காணவில்லை அல்லது உடைந்துள்ளன,ಭಾಗಗಳು ಕಾಣೆಯಾಗಿವೆ ಅಥವಾ ಮುರಿದುಹೋಗಿವೆ,ഭാഗങ്ങൾ കാണാനില്ല അല്ലെങ്കിൽ തകർന്നു
claim.assistant_name,QuickScanZ AI Assistant,QuickScanZ AI सहायक,QuickScanZ AI అసిస్టెంట్,QuickScanZ AI உதவியாளர்,QuickScanZ AI ಸಹಾಯಕ,QuickScanZ AI അസിസ്റ്റന്റ്
claim.assistant_expired_prefix,Your warranty expired on,आपकी वारंटी की अवधि समाप्त हो गई है,మీ వారంటీ గడువు ముగిసింది,உங்கள் உத்தரவாதம் காலாவதியாகிவிட்டது,ನಿಮ್ಮ ಖಾತರಿಯ ಅವಧಿ ಮುಗಿದಿದೆ,നിങ്ങളുടെ വാറണ്ടിയുടെ കാലാവധി അവസാനിച്ചു.
claim.assistant_expired_suffix,. I can still help you understand your out-of-warranty options.,. मैं अभी भी आपकी वारंटी से बाहर के विकल्पों को समझने में आपकी मदद कर सकता हूँ।,. మీ వారంటీ లేని ఎంపికలను అర్థం చేసుకోవడంలో నేను ఇంకా మీకు సహాయం చేయగలను.,. உங்கள் உத்தரவாதம் இல்லாத விருப்பங்களைப் புரிந்துகொள்ள நான் இன்னும் உங்களுக்கு உதவ முடியும்.,. ನಿಮ್ಮ ಖಾತರಿಯಿಲ್ಲದ ಆಯ್ಕೆಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ನಾನು ಇನ್ನೂ ನಿಮಗೆ ಸಹಾಯ ಮಾಡಬಲ್ಲೆ.,. നിങ്ങളുടെ ഔട്ട്-ഓഫ്-വാറന്റി ഓപ്ഷനുകൾ മനസ്സിലാക്കാൻ എനിക്ക് ഇപ്പോഴും നിങ്ങളെ സഹായിക്കാൻ കഴിയും.
claim.assistant_active_prefix,Your,आपका,మీ,உங்கள்,ನಿಮ್ಮ,നിങ്ങളുടെ
claim.assistant_active_mid,is under warranty until,वारंटी के तहत है जब तक,వరకు వారంటీలో ఉంది,வரை உத்தரவாதத்தின் கீழ் உள்ளது,ಅಲ್ಲಿಯವರೆಗೆ ಖಾತರಿಯಲ್ಲಿದೆ,വരെ വാറന്റിയിലാണ്
claim.assistant_active_suffix,. Tell me what's wrong and I'll guide you through the claim process.,. मुझे बताएं कि क्या गड़बड़ है और मैं आपको दावे की प्रक्रिया के माध्यम से मार्गदर्शन करूंगा।,". ఏమైందో చెప్పు, క్లెయిమ్ ప్రక్రియలో మీకు మార్గనిర్దేశం చేస్తాను.",". என்ன பிரச்சனைனு சொல்லுங்க, நான் உங்களுக்கு க்ளைம் செயல்முறைக்கு வழிகாட்டுகிறேன்.",". ಏನು ತಪ್ಪಾಗಿದೆ ಹೇಳಿ, ನಾನು ಕ್ಲೈಮ್ ಪ್ರಕ್ರಿಯೆಯ ಮೂಲಕ ನಿಮಗೆ ಮಾರ್ಗದರ್ಶನ ಮಾಡುತ್ತೇನೆ.",". എന്താണ് തെറ്റ് എന്ന് പറയൂ, ക്ലെയിം പ്രക്രിയയിലൂടെ ഞാൻ നിങ്ങളെ നയിക്കും."
claim.issue_prompt,What's the issue?,समस्या क्या है?,సమస్య ఏమిటి?,என்ன பிரச்சனை?,ಏನಿದು ಸಮಸ್ಯೆ?...........................................................................................................................................................................................................................................................,എന്താണ് പ്രശ്നം?
claim.input_placeholder,Or describe your issue in detail...,या अपने मुद्दे का विस्तार से वर्णन करें...,లేదా మీ సమస్యను వివరంగా వివరించండి...,அல்லது உங்கள் பிரச்சினையை விரிவாக விவரிக்கவும்...,ಅಥವಾ ನಿಮ್ಮ ಸಮಸ್ಯೆಯನ್ನು ವಿವರವಾಗಿ ವಿವರಿಸಿ...,അല്ലെങ്കിൽ നിങ്ങളുടെ പ്രശ്നം വിശദമായി വിവരിക്കുക...
claim.limit_reached_title,Usage limit reached for this product,इस उत्पाद के लिए उपयोग सीमा पहुंच गई,ఈ ఉత్పత్తి కోసం వినియోగ పరిమితిని చేరుకున్నారు,இந்த தயாரிப்புக்கான பயன்பாட்டு வரம்பு எட்டப்பட்டது,ಈ ಉತ್ಪನ್ನದ ಬಳಕೆಯ ಮಿತಿಯನ್ನು ತಲುಪಲಾಗಿದೆ,ഈ ഉൽപ്പന്നത്തിൻ്റെ ഉപയോഗപരിധി എത്തി
claim.limit_reached_desc,"Upgrade to Pro for more AI messages, or visit an authorised service centre directly.","अधिक एआई संदेशों के लिए प्रो में अपग्रेड करें, या सीधे किसी अधिकृत सेवा केंद्र पर जाएं।",మరిన్ని AI సందేశాల కోసం ప్రోకు అప్గ్రేడ్ చేయండి లేదా నేరుగా అధీకృత సేవా కేంద్రాన్ని సందర్శించండి.,"மேலும் AI செய்திகளுக்கு Pro க்கு மேம்படுத்தவும், அல்லது அங்கீகரிக்கப்பட்ட சேவை மையத்தை நேரடியாகப் பார்வையிடவும்.","ಹೆಚ್ಚಿನ AI ಸಂದೇಶಗಳಿಗಾಗಿ ಪ್ರೊಗೆ ಅಪ್ಗ್ರೇಡ್ ಮಾಡಿ, ಅಥವಾ ಅಧಿಕೃತ ಸೇವಾ ಕೇಂದ್ರಕ್ಕೆ ನೇರವಾಗಿ ಭೇಟಿ ನೀಡಿ.","കൂടുതൽ AI സന്ദേശങ്ങൾക്കായി പ്രോയിലേക്ക് അപ്ഗ്രേഡ് ചെയ്യുക, അല്ലെങ്കിൽ ഒരു അംഗീകൃത സേവന കേന്ദ്രം നേരിട്ട് സന്ദർശിക്കുക."
